price,distance,amneties,ratings
1116,8.8,ACModern wardrobeFree WifiKitchenKing Sized BedTV,4.1
576,6.5,WiFiACTV,3.1
2973,3.4,Free WifiKitchenACTVMini FridgeSeating area,5.0
649,3.7,Free WifiACTVPower backupParking facilityCCTV cameras,3.2
999,3.6,WiFiACTVGeyserPower backupElevator,3.8
892,3.6,ACTVFree WifiKitchenPower backupGeyser,2.7
999,5.0,ACFree WifiTVGeyserPower backupElevator,3.6
699,1.4,ACFree WifiTVPower backupGeyserElevator,3.5
806,3.9,ACTVFree WifiFully Functional KitchenKitchenFree High Speed WiFi,3.2
1320,9.9,WiFiACTV,3.6
999,4.2,ACTVFree WifiPower backupGeyserElevator,3.6
999,4.6,ACFree WifiTVGeyserPower backup,2.8
1159,3.7,WiFiACTVGeyserPower backup,3.4
1782,2.8,WiFiACTVAttached bathroom,4.1
1499,5.0,ACTVFree WifiGeyserPower backupElevator,4.0
723,5.0,ACFree WifiTVGeyserPower backup,3.5
621,9.9,WiFiACTV,3.0
576,8.2,Free WifiACTVGeyserPower backup,2.8
943,4.5,ACFree WifiTVGeyserPower backup,3.5
576,7.7,ACFree WifiTVGeyserPower backupElevator,3.5
